CRUK0484_BP_T1.FR1	CRUK0484_BP_T1.R2	CRUK0484_BP_T1.R3	CRUK0484_BR_T1.R1	CRUK0484_SU_FLN1	CRUK0484_SU_LN1	CRUK0484_SU_T1.R1	CRUK0484_SU_T1.R2	CRUK0484_SU_T1.R3	CRUK0484_SU_T1.R4	clusterID	treeID
0	0	0	0	0	0	0	0	0	0	1	160
0	21	22	0	0	0	0	0	0	0	2	160
0	0	0	0	0	0	0	16.8141592920354	0	0	3	160
0	0	0	0	0	0	0	0	0	0	4	160
0	0	0	0	68	0	0	0	0	0	5	160
0	0	0	0	0	0	0	0	0	0	6	160
0	0	0	0	0	0	0	0	0	32	7	160
50	0	0	53	0	0	0	0	0	0	8	160
0	0	0	0	0	0	0	0	19	0	9	160
0	0	0	0	0	0	18	0	0	0	10	160
0	0	0	0	0	0	0	0	0	0	11	160
1	0	0	15	0	0	0	0	0	0	12	160
1	0	0	8	0	0	0	0	0	0	13	160
0	0	0	0	0	14	0	0	0	0	15	160
0	0	0	0	0	0	0	16	0	0	17	160
0	0	0	0	0	0	0	0	0	0	18	160
0	0	0	24	0	0	0	0	0	0	19	160
0	0	0	0	32	0	0	0	0	0	20	160
0	0	0	0	0	0	30	0	0	0	21	160
0	0	0	0	0	60	0	0	0	0	22	160
0	0	0	0	0	0	5.94059405940594	0	0	0	23	160
0	0	0	0	0	0	46.0594059405941	0	0	0	24	160
0	0	0	0	0	0	0	0	0	46	25	160
0	0	0	0	0	10	0	0	0	0	26	160
0	0	0	0	0	0	0	0	0	22	28	160
0	0	0	0	0	0	0	18	15.2542372881356	0	30	160
0	79	78	0	0	0	0	0	0	0	31	160
0	0	0	0	0	16	0	0	0	0	32	160
14	0	0	0	0	0	0	0	0	0	33	160
0	0	0	0	0	0	0	43.1858407079646	0	0	34	160
34	0	0	0	0	0	0	0	0	0	35	160
0	0	0	0	0	0	0	0	41	0	37	160
0	0	0	0	0	0	0	6	24.7457627118644	0	38	160
0	0	0	0	0	0	0	0	0	0	1	410
0	21	22	0	0	0	0	0	0	0	2	410
0	0	0	0	0	0	0	16.8141592920354	0	0	3	410
0	0	0	0	0	0	0	0	0	0	4	410
0	0	0	0	68	0	0	0	0	0	5	410
0	0	0	0	0	0	0	0	0	0	6	410
0	0	0	0	0	0	0	0	0	32	7	410
37.719298245614	0	0	53	0	0	0	0	0	0	8	410
0	0	0	0	0	0	0	0	19	0	9	410
0	0	0	0	0	0	18	0	0	0	10	410
0	0	0	0	0	0	0	0	0	0	11	410
15	0	0	15	0	0	0	0	0	0	12	410
1	0	0	8	0	0	0	0	0	0	13	410
0	0	0	0	0	14	0	0	0	0	15	410
0	0	0	0	0	0	0	16	0	0	17	410
0	0	0	0	0	0	0	0	0	0	18	410
0	0	0	24	0	0	0	0	0	0	19	410
0	0	0	0	32	0	0	0	0	0	20	410
0	0	0	0	0	0	30	0	0	0	21	410
0	0	0	0	0	60	0	0	0	0	22	410
0	0	0	0	0	0	5.94059405940594	0	0	0	23	410
0	0	0	0	0	0	46.0594059405941	0	0	0	24	410
0	0	0	0	0	0	0	0	0	46	25	410
0	0	0	0	0	10	0	0	0	0	26	410
0	0	0	0	0	0	0	0	0	22	28	410
0	0	0	0	0	0	0	18	15.2542372881356	0	30	410
0	79	78	0	0	0	0	0	0	0	31	410
0	0	0	0	0	16	0	0	0	0	32	410
12.280701754386	0	0	0	0	0	0	0	0	0	33	410
0	0	0	0	0	0	0	43.1858407079646	0	0	34	410
34	0	0	0	0	0	0	0	0	0	35	410
0	0	0	0	0	0	0	0	41	0	37	410
0	0	0	0	0	0	0	6	24.7457627118644	0	38	410
