CRUK0495_SU_T1.R1	CRUK0495_SU_T1.R2	CRUK0495_SU_T1.R3	CRUK0495_SU_T1.R4	CRUK0495_SU_T1.R6	CRUK0495_SU_T2.R1	CRUK0495_SU_T2.R2	CRUK0495_SU_T3.R2	clusterID	treeID
0	0	0	0	0	0	0	55	1	1
0	0	0	14.5631067961165	0	0	0	0	2	1
0	0	0	2.4368932038835	0	0	24.1935483870968	0	3	1
0	0	0	0	0	18	6.80645161290323	0	5	1
0	0	0	0	0	0	0	0	6	1
0	0	0	0	39	0	0	0	7	1
0	0	0	0	0	55	69	0	8	1
0	0	0	0	0	0	0	0	9	1
0	0	0	22	0	0	0	0	10	1
18	0	0	0	0	0	0	0	11	1
19	20	0	0	0	0	0	0	13	1
0	0	0	0	0	0	0	45	15	1
0	0	0	8	0	0	0	0	17	1
19	0	0	0	0	0	0	0	20	1
44	10	0	0	0	0	0	0	21	1
0	0	0	0	61	0	0	0	22	1
0	70	0	0	0	0	0	0	24	1
0	0	35	0	0	0	0	0	25	1
0	0	0	0	0	27	0	0	27	1
0	0	0	26	0	0	0	0	28	1
0	0	65	27	0	0	0	0	29	1
0	0	0	0	0	0	0	55	1	3
0	0	0	14.5631067961165	0	0	0	0	2	3
0	0	0	2.4368932038835	0	0	24.1935483870968	0	3	3
0	0	0	0	0	18	6.80645161290323	0	5	3
0	0	0	0	0	0	0	0	6	3
0	0	0	0	39	0	0	0	7	3
0	0	0	0	0	55	69	0	8	3
0	0	0	0	0	0	0	0	9	3
0	0	0	22	0	0	0	0	10	3
37	0	0	0	0	0	0	0	11	3
0	20	0	0	0	0	0	0	13	3
0	0	0	0	0	0	0	45	15	3
0	0	0	8	0	0	0	0	17	3
19	0	0	0	0	0	0	0	20	3
44	10	0	0	0	0	0	0	21	3
0	0	0	0	61	0	0	0	22	3
0	70	0	0	0	0	0	0	24	3
0	0	35	0	0	0	0	0	25	3
0	0	0	0	0	27	0	0	27	3
0	0	0	26	0	0	0	0	28	3
0	0	65	27	0	0	0	0	29	3
