CRUK0496_SU_FLN1	CRUK0496_SU_T1.R1	CRUK0496_SU_T1.R2	CRUK0496_SU_T1.R3	clusterID	treeID
0	0	0	20	1	1
0	0	0	10	2	1
60	0	0	0	3	1
0	0	20	60	4	1
0	0	0	9	5	1
0	0	7	0	6	1
0	0	8	0	7	1
0	0	8	0	8	1
0	7	0	0	9	1
0	0	28	0	11	1
0	0	29	1	12	1
40	0	0	0	13	1
0	84	0	0	14	1
0	9	0	0	16	1
0	0	0	1	1	2
0	0	0	10	2	2
60	0	0	0	3	2
0	0	20	60	4	2
0	0	0	9	5	2
0	0	7	0	6	2
0	0	8	0	7	2
0	0	8	0	8	2
0	7	0	0	9	2
0	0	28	0	11	2
0	0	29	20	12	2
40	0	0	0	13	2
0	84	0	0	14	2
0	9	0	0	16	2
0	0	0	20	1	3
0	0	0	10	2	3
60	0	0	0	3	3
0	0	20	41	4	3
0	0	0	9	5	3
0	0	7	0	6	3
0	0	8	0	7	3
0	0	8	0	8	3
0	7	0	0	9	3
0	0	28	0	11	3
0	0	29	20	12	3
40	0	0	0	13	3
0	84	0	0	14	3
0	9	0	0	16	3
