CRUK0516_BR_T1.R1	CRUK0516_SU_T1.R1	CRUK0516_SU_T1.R2	CRUK0516_SU_T1.R3	CRUK0516_SU_T1.R4	CRUK0516_SU_T1.R5	CRUK0516_SU_T1.R6	CRUK0516_SU_T1.R7	CRUK0516_SU_T1.R8	clusterID	treeID
0	0	0	0	0	0	0	0	0	1	179
0	0	0	53	0	0	0	0	0	2	179
0	0	5	0	0	0	9	0	0	3	179
48	0	0	0	0	0	0	0	0	5	179
0	0	0	0	0	21.3913442890681	0	0	0	7	179
0	8.39449541284404	0	0	0	0	0	0	51	8	179
0	1	0.471698113207548	0	0	0	22	7	0	9	179
0	0	0	0	0	10	0	0	0	10	179
19	0	0	0	0	0	0	0	0	11	179
0	12	25	0	0	0	0	45	0	12	179
0	18	0	0	0	0	0	0	0	13	179
0	13.605504587156	0	0	0	0	5	48	0	15	179
19	0	0	0	0	0	0	0	0	16	179
14	0	0	0	0	0	0	0	0	17	179
0	0	0	0	82	0	0	0	0	18	179
0	0	0	0	18	0	0	0	0	19	179
0	0	0	0	0	4.95049504950495	0	0	0	20	179
0	7.50632911392405	0	0	0	0	0	0	0	21	179
0	0	0	25	0	0	0	0	0	22	179
0	0	0	0	0	0	11	0	14	23	179
0	0	24.5283018867925	0	0	0	0	0	0	25	179
0	0	0	22	0	0	0	0	0	27	179
0	0	25.6329113924051	0	0	0	25.2631578947368	0	0	28	179
0	0	0	0	0	16.658160661427	0	0	0	31	179
0	0	0	0	0	8	0	0	0	34	179
0	0	0	0	0	39	0	0	0	35	179
0	0	19.3670886075949	0	0	0	10.7368421052632	0	0	37	179
0	39.4936708860759	0	0	0	0	0	0	0	38	179
0	0	0	0	0	0	17	0	0	39	179
0	0	0	0	0	0	0	0	35	40	179
