CRUK0543_SU_FLN1	CRUK0543_SU_FLN3	CRUK0543_SU_FLN5	CRUK0543_SU_T1.R1	CRUK0543_SU_T1.R2	CRUK0543_SU_T1.R3	CRUK0543_SU_T1.R4	CRUK0543_SU_T1.R5	CRUK0543_SU_T1.R6	CRUK0543_SU_T1.R7	clusterID	treeID
0	0	0	0	0	0	0	0	0	0	1	135
23	33	0	0	0	16	0	22	0	0	2	135
0	0	0	0	0	8	0	0	0	0	3	135
0	0	0	0	0	0	0	5	0	0	4	135
0	0	0	0	0	8	0	0	0	0	5	135
0	0	0	5	0	3	0	0	0	0	6	135
0	17	0	0	0	0	0	0	0	0	7	135
0	0	0	7	0	0	0	0	0	0	8	135
0	0	0	0	4.75	7	0	0	9	39	10	135
10	3	0	33	34	18	35	13	31	34	12	135
0	0	0	0	42.1666666666667	0	15	0	0	12	13	135
67	0	100	9	0	30	23	41	14	3	14	135
0	0	0	0	0	4	0	0	0	2	15	135
0	0	0	0	0	0	0	0	8	0	16	135
0	0	0	0	0	0	0	0	0	7	17	135
0	0	0	0	0	0	0	7	0	0	18	135
0	0	0	15	0	0	0	0	0	0	19	135
0	0	0	7	0	0	0	0	0	0	20	135
0	10	0	0	0	0	0	0	0	0	22	135
0	0	0	0	0	0	0	7	0	0	23	135
0	0	0	0	0	0	11	0	38	0	25	135
0	37	0	0	0	0	0	0	0	0	26	135
0	0	0	0	10.0833333333333	5	10	0	0	0	27	135
0	0	0	0	0	0	0	0	0	3	29	135
0	0	0	0	0	0	5	0	0	0	30	135
0	0	0	0	0	1	1	4	0	0	31	135
0	0	0	24	0	0	0	1	0	0	32	135
0	0	0	0	9	0	0	0	0	0	34	135
0	0	0	0	0	0	0	0	0	0	1	189
23	33	0	0	0	16	0	22	0	0	2	189
0	0	0	0	0	8	0	0	0	0	3	189
0	0	0	0	0	0	0	5	0	0	4	189
0	0	0	0	0	8	0	0	0	0	5	189
0	0	0	5	0	3	0	0	0	0	6	189
0	17	0	0	0	0	0	0	0	0	7	189
0	0	0	7	0	0	0	0	0	0	8	189
0	0	0	0	4.75	7	0	0	1	46	10	189
10	3	0	33	34	18	35	13	31	34	12	189
0	0	0	0	42.1666666666667	0	15	0	0	5	13	189
67	0	100	9	0	30	23	41	14	3	14	189
0	0	0	0	0	4	0	0	0	2	15	189
0	0	0	0	0	0	0	0	8	0	16	189
0	0	0	0	0	0	0	0	0	7	17	189
0	0	0	0	0	0	0	7	0	0	18	189
0	0	0	15	0	0	0	0	0	0	19	189
0	0	0	7	0	0	0	0	0	0	20	189
0	10	0	0	0	0	0	0	0	0	22	189
0	0	0	0	0	0	0	7	0	0	23	189
0	0	0	0	0	0	11	0	46	0	25	189
0	37	0	0	0	0	0	0	0	0	26	189
0	0	0	0	10.0833333333333	5	10	0	0	0	27	189
0	0	0	0	0	0	0	0	0	3	29	189
0	0	0	0	0	0	5	0	0	0	30	189
0	0	0	0	0	1	1	4	0	0	31	189
0	0	0	24	0	0	0	1	0	0	32	189
0	0	0	0	9	0	0	0	0	0	34	189
