CRUK0559_BR_T1.R1	CRUK0559_SU_FLN1	CRUK0559_SU_LN1	CRUK0559_SU_LN2	CRUK0559_SU_LN3	CRUK0559_SU_T1.R1	CRUK0559_SU_T1.R2	CRUK0559_SU_T1.R3	CRUK0559_SU_T1.R4	CRUK0559_SU_T1.R5	clusterID	treeID
0	0	0	0	0	0	0	0	0	0	1	1
42	33	0	0	0	0	0	0	0	0	2	1
0	0	0	0	0	0	0	0	0	0	4	1
0	0	0	0	0	0	100	100	0	0	5	1
0	0	0	0	0	100	0	0	0	22	6	1
0	0	0	0	0	0	0	0	0	0	7	1
0	0	0	0	0	0	0	0	0	47	8	1
0	0	0	0	0	0	0	0	35	0	10	1
0	0	74	11	100	0	0	0	0	0	11	1
0	21.1195652173913	26	44	0	0	0	0	0	0	13	1
43	0	0	0	0	0	0	0	0	0	14	1
15	45.8804347826087	0	0	0	0	0	0	0	0	15	1
0	0	0	0	0	0	0	0	0	31	16	1
0	0	0	0	0	0	0	0	12	0	17	1
0	0	0	0	0	0	0	0	53	0	18	1
0	0	0	45	0	0	0	0	0	0	19	1
