CRUK0587_BR_T1.FR1	CRUK0587_SU_FLN1	CRUK0587_SU_T1.R1	CRUK0587_SU_T1.R2	CRUK0587_SU_T1.R3	clusterID	treeID
0	0	10	0	0	1	1
0	0	0	0	0	2	1
0	0	14	49	100	3	1
39	47	0	0	0	4	1
0	0	12	10	0	5	1
0	0	10	0	0	6	1
0	0	0	14	0	7	1
13	0	0	0	0	8	1
20	0	0	0	0	9	1
0	0	51	22	0	11	1
0	31	0	0	0	12	1
17	0	0	0	0	15	1
11	0	0	0	0	16	1
0	0	3	5	0	17	1
0	22	0	0	0	18	1
0	0	10	0	0	1	5
0	0	0	0	0	2	5
0	0	26	59	100	3	5
39	47	0	0	0	4	5
0	0	12	10	0	5	5
0	0	10	0	0	6	5
0	0	0	14	0	7	5
13	0	0	0	0	8	5
20	0	0	0	0	9	5
0	0	39	12	0	11	5
0	31	0	0	0	12	5
17	0	0	0	0	15	5
11	0	0	0	0	16	5
0	0	3	5	0	17	5
0	22	0	0	0	18	5
0	0	20	0	0	1	8
0	0	0	0	0	2	8
0	0	14	49	100	3	8
39	47	0	0	0	4	8
0	0	2	10	0	5	8
0	0	10	0	0	6	8
0	0	0	14	0	7	8
13	0	0	0	0	8	8
20	0	0	0	0	9	8
0	0	51	22	0	11	8
0	31	0	0	0	12	8
17	0	0	0	0	15	8
11	0	0	0	0	16	8
0	0	3	5	0	17	8
0	22	0	0	0	18	8
