CRUK0589_SU_FLN1	CRUK0589_SU_T1.R1	CRUK0589_SU_T1.R2	CRUK0589_SU_T1.R3	CRUK0589_SU_T1.R6	CRUK0589_SU_T1.R7	CRUK0589_SU_T1.R8	clusterID	treeID
0	0	5	0	0	0	0	1	38
0	0	32	0	0	0	0	2	38
0	22	0	0	0	0	0	3	38
37	0	0	0	0	0	0	5	38
0	0	0	0.348623853211009	0	0	0	6	38
0	0	0	0	13	0	0	7	38
0	0	0	9.65137614678899	0	0	0	8	38
0	78	38	3	68	88	100	9	38
0	0	0	0	0	12	0	10	38
0	0	0	33	0	0	0	11	38
63	0	0	0	0	0	0	12	38
0	0	0	15	0	0	0	13	38
0	0	0	0	13	0	0	15	38
0	0	0	11	0	0	0	16	38
0	0	0	28	0	0	0	17	38
0	0	25	0	6	0	0	18	38
0	0	37	0	0	0	0	1	40
0	0	32	0	0	0	0	2	40
0	22	0	0	0	0	0	3	40
37	0	0	0	0	0	0	5	40
0	0	0	0.348623853211009	0	0	0	6	40
0	0	0	0	13	0	0	7	40
0	0	0	9.65137614678899	0	0	0	8	40
0	78	6	3	68	88	100	9	40
0	0	0	0	0	12	0	10	40
0	0	0	33	0	0	0	11	40
63	0	0	0	0	0	0	12	40
0	0	0	15	0	0	0	13	40
0	0	0	0	13	0	0	15	40
0	0	0	11	0	0	0	16	40
0	0	0	28	0	0	0	17	40
0	0	25	0	6	0	0	18	40
0	0	5	0	0	0	0	1	63
0	0	32	0	0	0	0	2	63
0	22	0	0	0	0	0	3	63
37	0	0	0	0	0	0	5	63
0	0	0	0.348623853211009	0	0	0	6	63
0	0	0	0	13	0	0	7	63
0	0	0	9.65137614678899	0	0	0	8	63
0	78	38	18	68	88	100	9	63
0	0	0	0	0	12	0	10	63
0	0	0	5	0	0	0	11	63
63	0	0	0	0	0	0	12	63
0	0	0	15	0	0	0	13	63
0	0	0	0	13	0	0	15	63
0	0	0	39	0	0	0	16	63
0	0	0	13	0	0	0	17	63
0	0	25	0	6	0	0	18	63
0	0	37	0	0	0	0	1	65
0	0	32	0	0	0	0	2	65
0	22	0	0	0	0	0	3	65
37	0	0	0	0	0	0	5	65
0	0	0	0.348623853211009	0	0	0	6	65
0	0	0	0	13	0	0	7	65
0	0	0	9.65137614678899	0	0	0	8	65
0	78	6	18	68	88	100	9	65
0	0	0	0	0	12	0	10	65
0	0	0	5	0	0	0	11	65
63	0	0	0	0	0	0	12	65
0	0	0	15	0	0	0	13	65
0	0	0	0	13	0	0	15	65
0	0	0	39	0	0	0	16	65
0	0	0	13	0	0	0	17	65
0	0	25	0	6	0	0	18	65
