CRUK0590_BR_T1.FR1	CRUK0590_BR_T1.FR2	CRUK0590_BR_T3.FR1	CRUK0590_SU_FLN1	CRUK0590_SU_T1.R1	CRUK0590_SU_T1.R2	CRUK0590_SU_T1.R3	CRUK0590_SU_T1.R4	CRUK0590_SU_T1.R5	clusterID	treeID
0	0	0	0	0	0	0	0	0	1	1
0	0	18	0	0	0	0	0	0	2	1
0	0	17	0	0	0	0	0	0	3	1
0	0	0	0	74	0	0	0	0	4	1
83	72	0	0	0	0	0	0	0	5	1
0	0	0	0	0	0	20	0	0	6	1
0	0	0	0	0	0	0	17	0	7	1
0	0	0	0	0	0	52.972972972973	0	0	8	1
17	0	0	0	0	0	0	0	0	9	1
0	0	0	0	0	0	0	24	0	10	1
0	0	0	72	0	0	12.027027027027	59	0	11	1
0	0	0	28	0	0	0	0	0	12	1
0	0	21	0	0	0	0	0	0	13	1
0	28	0	0	0	0	0	0	0	14	1
0	0	0	0	26	0	0	0	0	15	1
0	0	44	0	0	0	0	0	0	17	1
0	0	0	0	0	100	15	0	100	18	1
