CRUK0620_SU_FLN2	CRUK0620_SU_FLN3	CRUK0620_SU_LN1	CRUK0620_SU_T1.R5	CRUK0620_SU_T2.R1	CRUK0620_SU_T2.R2	CRUK0620_SU_T2.R3	CRUK0620_SU_T2.R4	clusterID	treeID
0	0	0	0	0	0	0	0	1	2
0	0	0	0	0	0	47	0	2	2
18	0	0	0	0	0	0	0	3	2
0	0	0	0	72	0	0	0	4	2
0	0	0	0	0	0	0	100	5	2
0	0	0	0	0	21	0	0	6	2
49	0	75	0	0	0	0	0	7	2
0	0	0	0	0	13	0	0	8	2
0	0	0	0	0	12	0	0	9	2
0	0	0	0	0	0	14	0	11	2
0	0	0	0	0	54	0	0	12	2
13	0	0	0	0	0	0	0	14	2
0	0	0	0	28	0	0	0	15	2
0	0	0	47	0	0	0	0	16	2
0	0	0	0	0	0	0	0	17	2
0	0	0	0	0	0	11	0	18	2
3	0	23	0	0	0	0	0	20	2
0	0	0	0	0	0	19	0	21	2
0	0	0	0	0	0	9	0	22	2
0	20	0	0	0	0	0	0	23	2
4	72	2	53	0	0	0	0	24	2
13	8	0	0	0	0	0	0	25	2
