CRUK0714_BR_LN1	CRUK0714_SU_FLN1	CRUK0714_SU_T1.R1	CRUK0714_SU_T1.R2	CRUK0714_SU_T1.R3	CRUK0714_SU_T1.R4	CRUK0714_SU_T1.R5	CRUK0714_SU_T1.R6	CRUK0714_SU_T1.R7	CRUK0714_SU_T1.R8	clusterID	treeID
0	0	0	0	0	0	0	0	0	0	1	1
0	0	0	0	0	0	0	0	0	0	2	1
0	0	47	28	0	39	50	0	37	62	3	1
0	0	0	0	0	0	0	0	16	0	5	1
0	0	0	0	0	0	0	66	0	0	6	1
0	0	0	0	0	27	0	0	0	0	7	1
16	0	0	0	0	0	0	0	0	0	8	1
0	0	0	0	0	0	0	0	0	23	9	1
32	0	0	0	0	0	0	0	0	0	10	1
0	0	0	0	16	0	0	0	0	0	11	1
0	0	0	0	0	0	0	0	0	15	12	1
0	0	0	0	0	34	0	0	0	0	13	1
0	0	0	0	0	0	0	0	34	0	14	1
0	0	19	0	0	0	0	0	0	0	15	1
0	0	0	0	0	0	0	14	0	0	16	1
0	0	0	12	0	0	0	0	0	0	17	1
0	0	0	16	0	0	0	0	0	0	18	1
0	0	0	0	84	0	0	0	0	0	19	1
0	0	0	0	0	0	0	0	13	0	20	1
0	0	0	16	0	0	0	0	0	0	21	1
0	0	0	0	0	0	23	0	0	0	22	1
0	0	16	0	0	0	0	0	0	0	23	1
0	0	18	0	0	0	0	0	0	0	24	1
0	0	0	18	0	0	0	0	0	0	25	1
0	100	0	0	0	0	0	0	0	0	26	1
0	0	0	0	0	0	27	0	0	0	27	1
0	0	0	0	0	0	0	20	0	0	28	1
0	0	0	10	0	0	0	0	0	0	29	1
52	0	0	0	0	0	0	0	0	0	30	1
