CRUK0745_SU_FLN1	CRUK0745_SU_FLN4	CRUK0745_SU_LN1	CRUK0745_SU_LN2	CRUK0745_SU_T1.R1	CRUK0745_SU_T1.R2	CRUK0745_SU_T1.R3	CRUK0745_SU_T1.R4	CRUK0745_SU_T1.R5	clusterID	treeID
0	0	0	0	0	0	0	0	0	1	11
0	0	0	0	0	0	0	0	16	2	11
0	0	0	0	0	19	0	0	0	3	11
0	0	0	0	0	0	0	0	0	4	11
0	0	0	0	74	0	84	0	0	5	11
11.2432432432432	0	0	11.5044247787611	0	0	0	0	0	6	11
0	0	0	0	0	0	0	0	20	7	11
0	0	0	0	0	0	0	20	0	8	11
0	0	0	0	0	0	0	0	13	9	11
0	0	100	0	0	0	0	0	0	10	11
0	0	0	0	0	48	0	0	7.66988801963491	11	11
0	0	0	0	0	33	0	0	0	12	11
0	0	0	0	0	0	0	0	0.630924988495167	13	11
0	0	0	0	0	0	0	46	0	14	11
16	0	0	0	0	0	0	0	0	15	11
0	0	0	0	3	0	2	0	0	16	11
0	39	0	0	0	0	0	0	0	17	11
0	0	0	0	0	0	0	0	6	19	11
0	0	0	0	0	0	0	0	0	20	11
0	0	0	0	0	0	0	0	0	21	11
0	0	0	0	0	0	8	0	0	22	11
0	0	0	0	0	0	0	0	18	23	11
0	0	0	0	11	0	0	0	0	24	11
0	0	0	88.4955752212389	0	0	0	0	0	25	11
0	0	0	0	0	0	0	34	0	26	11
56.7567567567568	0	0	0	0	0	0	0	0	27	11
0	0	0	0	0	0	6	0	0	28	11
16	0	0	0	0	0	0	0	0	29	11
0	0	0	0	0	0	0	0	0	30	11
0	0	0	0	12	0	0	0	0	31	11
0	61	0	0	0	0	0	0	0	32	11
0	0	0	0	0	0	0	0	18.6991869918699	33	11
0	0	0	0	0	0	0	0	0	1	22
0	0	0	0	0	0	0	0	16	2	22
0	0	0	0	0	19	0	0	0	3	22
0	0	0	0	0	0	0	0	0	4	22
0	0	0	0	74	0	84	0	0	5	22
27.2432432432432	0	0	11.5044247787611	0	0	0	0	0	6	22
0	0	0	0	0	0	0	0	20	7	22
0	0	0	0	0	0	0	20	0	8	22
0	0	0	0	0	0	0	0	13	9	22
0	0	100	0	0	0	0	0	0	10	22
0	0	0	0	0	48	0	0	7.66988801963491	11	22
0	0	0	0	0	33	0	0	0	12	22
0	0	0	0	0	0	0	0	0.630924988495167	13	22
0	0	0	0	0	0	0	46	0	14	22
16	0	0	0	0	0	0	0	0	15	22
0	0	0	0	3	0	2	0	0	16	22
0	39	0	0	0	0	0	0	0	17	22
0	0	0	0	0	0	0	0	6	19	22
0	0	0	0	0	0	0	0	0	20	22
0	0	0	0	0	0	0	0	0	21	22
0	0	0	0	0	0	8	0	0	22	22
0	0	0	0	0	0	0	0	18	23	22
0	0	0	0	11	0	0	0	0	24	22
0	0	0	88.4955752212389	0	0	0	0	0	25	22
0	0	0	0	0	0	0	34	0	26	22
24.7567567567568	0	0	0	0	0	0	0	0	27	22
0	0	0	0	0	0	6	0	0	28	22
32	0	0	0	0	0	0	0	0	29	22
0	0	0	0	0	0	0	0	0	30	22
0	0	0	0	12	0	0	0	0	31	22
0	61	0	0	0	0	0	0	0	32	22
0	0	0	0	0	0	0	0	18.6991869918699	33	22
0	0	0	0	0	0	0	0	0	1	42
0	0	0	0	0	0	0	0	16	2	42
0	0	0	0	0	19	0	0	0	3	42
0	0	0	0	0	0	0	0	0	4	42
0	0	0	0	74	0	70	0	0	5	42
11.2432432432432	0	0	11.5044247787611	0	0	0	0	0	6	42
0	0	0	0	0	0	0	0	20	7	42
0	0	0	0	0	0	0	20	0	8	42
0	0	0	0	0	0	0	0	13	9	42
0	0	100	0	0	0	0	0	0	10	42
0	0	0	0	0	48	0	0	7.66988801963491	11	42
0	0	0	0	0	33	0	0	0	12	42
0	0	0	0	0	0	0	0	0.630924988495167	13	42
0	0	0	0	0	0	0	46	0	14	42
16	0	0	0	0	0	0	0	0	15	42
0	0	0	0	3	0	16	0	0	16	42
0	39	0	0	0	0	0	0	0	17	42
0	0	0	0	0	0	0	0	6	19	42
0	0	0	0	0	0	0	0	0	20	42
0	0	0	0	0	0	0	0	0	21	42
0	0	0	0	0	0	8	0	0	22	42
0	0	0	0	0	0	0	0	18	23	42
0	0	0	0	11	0	0	0	0	24	42
0	0	0	88.4955752212389	0	0	0	0	0	25	42
0	0	0	0	0	0	0	34	0	26	42
56.7567567567568	0	0	0	0	0	0	0	0	27	42
0	0	0	0	0	0	6	0	0	28	42
16	0	0	0	0	0	0	0	0	29	42
0	0	0	0	0	0	0	0	0	30	42
0	0	0	0	12	0	0	0	0	31	42
0	61	0	0	0	0	0	0	0	32	42
0	0	0	0	0	0	0	0	18.6991869918699	33	42
