CRUK0748_SU_FLN2	CRUK0748_SU_FLN4	CRUK0748_SU_LN2	CRUK0748_SU_T1.R1	CRUK0748_SU_T1.R2	CRUK0748_SU_T1.R3	CRUK0748_SU_T1.R4	CRUK0748_SU_T1.R5	CRUK0748_SU_T1.R6	CRUK0748_SU_T1.R7	CRUK0748_SU_T1.R8	clusterID	treeID
0	0	0	0	55	0	20	57	0	0	0	1	5
14.1666666666667	33.3333333333333	5	0	0	0	0	0	0	0	0	2	5
0	0	14	0	0	49	0	0	7	0	0	3	5
0	0	2	0	0	0	0	0	3	0	0	4	5
0	0	0	0	0	0	0	17	0	0	0	7	5
21	0	45	0	0	0	0	0	0	0	0	8	5
0	0	0	0	0	0	0	0	53	0	87	9	5
0	0	0	0	45	0	0	0	0	0	0	10	5
0	0	0	100	0	0	0	0	0	0	0	11	5
0	0	0	0	0	0	0	0	14.3265306122449	0	0	13	5
40.8333333333333	0	14	0	0	0	0	0	4	14.672131147541	0	14	5
0	0	0	0	0	0	66	0	0	0	0	16	5
0	56	0	0	0	0	0	0	0	0	0	17	5
20	10.6666666666667	20	0	0	0	0	0	7	55	0	18	5
4	0	0	0	0	0	0	0	11.6734693877551	30.327868852459	0	21	5
0	0	0	0	0	51	0	0	0	0	13	22	5
0	0	0	0	0	0	14	0	0	0	0	23	5
0	0	0	0	0	0	0	26	0	0	0	26	5
