CRUK0762_SU_FLN1	CRUK0762_SU_FLN2	CRUK0762_SU_FLN3	CRUK0762_SU_LN1	CRUK0762_SU_LN2	CRUK0762_SU_T1.R1	CRUK0762_SU_T1.R2	clusterID	treeID
0	0	0	0	0	0	0	1	21
0	0	0	0	0	0	16	2	21
0	0	0	0	0	16	0	3	21
0	0	0	0	0	0	19	4	21
61	0	0	100	0	0	0	5	21
0	0	0	0	0	14	0	6	21
0	0	0	0	0	2	0	7	21
0	0	0	0	0	2.16831683168317	0	8	21
0	0	0	0	55	0	0	9	21
0	100	0	0	0	0	0	10	21
0	0	0	0	0	0	35	11	21
0	0	0	0	45	0	0	12	21
0	0	0	0	0	16.8316831683168	0	13	21
0	0	0	0	0	0	9.34579439252336	14	21
0	0	0	0	0	7	0	15	21
0	0	100	0	0	0	0	16	21
0	0	0	0	0	30	0	17	21
0	0	0	0	0	0	12.6542056074766	18	21
39	0	0	0	0	0	0	19	21
0	0	0	0	0	0	8	20	21
0	0	0	0	0	12	0	21	21
0	0	0	0	0	0	0	22	21
