CRUK0810_BR_LN1	CRUK0810_SU_FLN1	CRUK0810_SU_LN1	CRUK0810_SU_LN2	CRUK0810_SU_LN3	CRUK0810_SU_T1.R1	CRUK0810_SU_T1.R2	CRUK0810_SU_T1.R3	CRUK0810_SU_T1.R4	CRUK0810_SU_T1.R5	CRUK0810_SU_T1.R6	CRUK0810_SU_T1.R7	CRUK0810_SU_T1.R8	clusterID	treeID
0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
0	38	0	0	0	0	0	0	0	0	0	0	0	2	1
0	0	0	0	0	0	0	0	0	0	44	0	0	3	1
0	0	0	0	0	0	0	0	0	0	0	0	0	4	1
0	0	0	0	0	36	0	0	0	0	0	0	0	5	1
0	0	0	0	0	0	24	0	61	0	34	59	0	6	1
0	0	0	0	0	32	0	0	0	0	0	0	0	7	1
0	0	0	0	0	0	0	0	23	0	0	0	0	8	1
41	0	0	0	0	0	0	0	0	0	0	0	0	9	1
0	0	0	0	0	0	0	0	0	23	0	0	0	10	1
0	0	0	0	0	0	0	0	4.76271186440678	0	0	0	0	12	1
0	0	0	0	0	0	0	0	0	0	0	26	0	13	1
0	0	0	0	0	0	6	0	0	0	0	15	0	14	1
0	0	0	0	0	0	0	0	0	34.5925925925926	0	0	0	15	1
0	0	0	0	0	0	27	0	0	0	0	0	0	16	1
0	0	0	0	0	0	0	0	0	0	22	0	0	17	1
0	0	0	0	0	32	0	0	0	0	0	0	0	18	1
59	0	0	0	0	0	0	0	0	0	0	0	0	19	1
0	0	0	0	0	0	0	0	0	0	0	0	100	20	1
0	0	76	0	0	0	0	0	0	0	0	0	0	21	1
0	0	24	0	0	0	0	0	0	0	0	0	0	22	1
0	37	0	0	100	0	0	0	0	0	0	0	0	23	1
0	0	0	0	0	0	18	100	0	0	0	0	0	24	1
0	0	0	0	0	0	0	0	0	7.40740740740741	0	0	0	25	1
0	0	0	0	0	0	0	0	11.2372881355932	35	0	0	0	26	1
0	0	0	0	0	0	25	0	0	0	0	0	0	27	1
0	25	0	100	0	0	0	0	0	0	0	0	0	28	1
