CRUK0817_BR_T1.R1	CRUK0817_SU_T1.R1	CRUK0817_SU_T1.R2	CRUK0817_SU_T1.R3	CRUK0817_SU_T1.R4	CRUK0817_SU_T1.R5	clusterID	treeID
27	0	0	0	0	0	1	48
61	0	0	0	0	0	2	48
0	0	0	0	0	0	3	48
0	32	0	45	2	0	4	48
0	0	0	0	0	24	5	48
0	3	1.04761904761905	0	54	0	6	48
0	0	26	0	0	0	8	48
0	0	0	0	9	6.17241379310345	9	48
0	11	0	5	0	0	10	48
0	0	0	0	18	0	11	48
0	0	0	33	0	0	12	48
0	18	17	0	0	16.3793103448276	13	48
0	0	40.9523809523809	0	0	6.44827586206897	15	48
0	0	15	0	0	0	16	48
12	0	0	0	0	0	17	48
0	0	0	0	17	0	18	48
0	27	0	0	0	0	19	48
0	0	0	0	0	47	21	48
0	9	0	17	0	0	22	48
