anatomical_site_index	anatomical_site_label	cluster_index	cluster_label	present	site_category	num_mutations
0	LN_SU_LN5	0	PDGFRA;NRAS	0	metastasis	183
1	LN_SU_LN7	0	PDGFRA;NRAS	0	metastasis	183
2	primary_SU_T1	0	PDGFRA;NRAS	0	primary	183
3	LN_SU_FLN1	0	PDGFRA;NRAS	0	metastasis	183
4	metachronousMet_BR_T1	0	PDGFRA;NRAS	0	metastasis	183
0	LN_SU_LN5	1	AL645728.1;SNIP1	0	metastasis	32
1	LN_SU_LN7	1	AL645728.1;SNIP1	0	metastasis	32
2	primary_SU_T1	1	AL645728.1;SNIP1	0	primary	32
3	LN_SU_FLN1	1	AL645728.1;SNIP1	0	metastasis	32
4	metachronousMet_BR_T1	1	AL645728.1;SNIP1	1	metastasis	32
0	LN_SU_LN5	2	EEF2	0	metastasis	26
1	LN_SU_LN7	2	EEF2	0	metastasis	26
2	primary_SU_T1	2	EEF2	1	primary	26
3	LN_SU_FLN1	2	EEF2	0	metastasis	26
4	metachronousMet_BR_T1	2	EEF2	0	metastasis	26
0	LN_SU_LN5	3	UBR4;AGO1	0	metastasis	22
1	LN_SU_LN7	3	UBR4;AGO1	0	metastasis	22
2	primary_SU_T1	3	UBR4;AGO1	1	primary	22
3	LN_SU_FLN1	3	UBR4;AGO1	0	metastasis	22
4	metachronousMet_BR_T1	3	UBR4;AGO1	0	metastasis	22
0	LN_SU_LN5	4	SEMA4A;OR10J5	0	metastasis	13
1	LN_SU_LN7	4	SEMA4A;OR10J5	0	metastasis	13
2	primary_SU_T1	4	SEMA4A;OR10J5	1	primary	13
3	LN_SU_FLN1	4	SEMA4A;OR10J5	0	metastasis	13
4	metachronousMet_BR_T1	4	SEMA4A;OR10J5	0	metastasis	13
0	LN_SU_LN5	5	TTN;TTN	1	metastasis	11
1	LN_SU_LN7	5	TTN;TTN	0	metastasis	11
2	primary_SU_T1	5	TTN;TTN	0	primary	11
3	LN_SU_FLN1	5	TTN;TTN	0	metastasis	11
4	metachronousMet_BR_T1	5	TTN;TTN	0	metastasis	11
0	LN_SU_LN5	6	EML4;LRP2	0	metastasis	9
1	LN_SU_LN7	6	EML4;LRP2	0	metastasis	9
2	primary_SU_T1	6	EML4;LRP2	1	primary	9
3	LN_SU_FLN1	6	EML4;LRP2	1	metastasis	9
4	metachronousMet_BR_T1	6	EML4;LRP2	0	metastasis	9
0	LN_SU_LN5	7	ESRRG;PIGZ	0	metastasis	8
1	LN_SU_LN7	7	ESRRG;PIGZ	1	metastasis	8
2	primary_SU_T1	7	ESRRG;PIGZ	0	primary	8
3	LN_SU_FLN1	7	ESRRG;PIGZ	0	metastasis	8
4	metachronousMet_BR_T1	7	ESRRG;PIGZ	0	metastasis	8
0	LN_SU_LN5	8	EPHA10;USH2A	0	metastasis	8
1	LN_SU_LN7	8	EPHA10;USH2A	0	metastasis	8
2	primary_SU_T1	8	EPHA10;USH2A	1	primary	8
3	LN_SU_FLN1	8	EPHA10;USH2A	0	metastasis	8
4	metachronousMet_BR_T1	8	EPHA10;USH2A	0	metastasis	8
0	LN_SU_LN5	9	MYH9	0	metastasis	7
1	LN_SU_LN7	9	MYH9	0	metastasis	7
2	primary_SU_T1	9	MYH9	1	primary	7
3	LN_SU_FLN1	9	MYH9	0	metastasis	7
4	metachronousMet_BR_T1	9	MYH9	0	metastasis	7
0	LN_SU_LN5	10	CHIT1;HOXA3	1	metastasis	7
1	LN_SU_LN7	10	CHIT1;HOXA3	0	metastasis	7
2	primary_SU_T1	10	CHIT1;HOXA3	0	primary	7
3	LN_SU_FLN1	10	CHIT1;HOXA3	0	metastasis	7
4	metachronousMet_BR_T1	10	CHIT1;HOXA3	0	metastasis	7
0	LN_SU_LN5	11	WWTR1;OXCT1	0	metastasis	7
1	LN_SU_LN7	11	WWTR1;OXCT1	1	metastasis	7
2	primary_SU_T1	11	WWTR1;OXCT1	0	primary	7
3	LN_SU_FLN1	11	WWTR1;OXCT1	1	metastasis	7
4	metachronousMet_BR_T1	11	WWTR1;OXCT1	0	metastasis	7
0	LN_SU_LN5	12	STIL;TRAPPC11	0	metastasis	6
1	LN_SU_LN7	12	STIL;TRAPPC11	0	metastasis	6
2	primary_SU_T1	12	STIL;TRAPPC11	1	primary	6
3	LN_SU_FLN1	12	STIL;TRAPPC11	0	metastasis	6
4	metachronousMet_BR_T1	12	STIL;TRAPPC11	0	metastasis	6
0	LN_SU_LN5	13	GGPS1;LIFR	0	metastasis	6
1	LN_SU_LN7	13	GGPS1;LIFR	0	metastasis	6
2	primary_SU_T1	13	GGPS1;LIFR	1	primary	6
3	LN_SU_FLN1	13	GGPS1;LIFR	0	metastasis	6
4	metachronousMet_BR_T1	13	GGPS1;LIFR	0	metastasis	6
0	LN_SU_LN5	14	KIF13A;DGKI	0	metastasis	6
1	LN_SU_LN7	14	KIF13A;DGKI	0	metastasis	6
2	primary_SU_T1	14	KIF13A;DGKI	1	primary	6
3	LN_SU_FLN1	14	KIF13A;DGKI	0	metastasis	6
4	metachronousMet_BR_T1	14	KIF13A;DGKI	0	metastasis	6
