anatomical_site_index	anatomical_site_label	cluster_index	character_index	character_label	ref	var	var_read_prob	site_category
0	Primary, left heel	2	0	PROM2	171	145	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	0	PROM2	217	186	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	0	PROM2	199	174	0.45	metastasis
3	Lymph node metastasis, left groin	2	0	PROM2	203	158	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	0	PROM2	177	121	0.445	metastasis
0	Primary, left heel	8	1	TTN	18	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	8	1	TTN	19	4	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	8	1	TTN	22	0	0.45	metastasis
3	Lymph node metastasis, left groin	8	1	TTN	20	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	8	1	TTN	25	0	0.445	metastasis
0	Primary, left heel	4	2	ORC1	97	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	4	2	ORC1	99	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	4	2	ORC1	99	0	0.45	metastasis
3	Lymph node metastasis, left groin	4	2	ORC1	90	12	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	4	2	ORC1	74	0	0.445	metastasis
0	Primary, left heel	2	3	GUSB	127	67	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	3	GUSB	149	110	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	3	GUSB	126	93	0.45	metastasis
3	Lymph node metastasis, left groin	2	3	GUSB	111	94	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	3	GUSB	126	63	0.445	metastasis
0	Primary, left heel	1	4	ECI1	62	10	0.4	primary
1	Locoregional skin metastasis 1, left heel	1	4	ECI1	107	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	1	4	ECI1	100	0	0.45	metastasis
3	Lymph node metastasis, left groin	1	4	ECI1	101	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	1	4	ECI1	69	0	0.445	metastasis
0	Primary, left heel	2	5	FBXL7	346	226	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	5	FBXL7	370	267	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	5	FBXL7	439	315	0.45	metastasis
3	Lymph node metastasis, left groin	2	5	FBXL7	359	270	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	5	FBXL7	375	247	0.445	metastasis
0	Primary, left heel	2	6	SHANK1	49	37	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	6	SHANK1	64	47	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	6	SHANK1	68	34	0.45	metastasis
3	Lymph node metastasis, left groin	2	6	SHANK1	67	58	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	6	SHANK1	48	36	0.445	metastasis
0	Primary, left heel	2	7	SLC5A1	128	90	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	7	SLC5A1	170	145	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	7	SLC5A1	183	138	0.45	metastasis
3	Lymph node metastasis, left groin	2	7	SLC5A1	184	103	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	7	SLC5A1	137	117	0.445	metastasis
0	Primary, left heel	8	8	PTPN12	103	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	8	8	PTPN12	111	13	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	8	8	PTPN12	145	1	0.45	metastasis
3	Lymph node metastasis, left groin	8	8	PTPN12	112	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	8	8	PTPN12	118	0	0.445	metastasis
0	Primary, left heel	2	9	SLC4A9	56	26	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	9	SLC4A9	38	59	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	9	SLC4A9	50	59	0.45	metastasis
3	Lymph node metastasis, left groin	2	9	SLC4A9	41	45	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	9	SLC4A9	48	39	0.445	metastasis
0	Primary, left heel	2	10	SPPL2B	148	102	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	10	SPPL2B	144	118	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	10	SPPL2B	156	132	0.45	metastasis
3	Lymph node metastasis, left groin	2	10	SPPL2B	116	113	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	10	SPPL2B	121	89	0.445	metastasis
0	Primary, left heel	2	11	MESDC1	77	36	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	11	MESDC1	88	73	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	11	MESDC1	107	72	0.45	metastasis
3	Lymph node metastasis, left groin	2	11	MESDC1	71	65	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	11	MESDC1	64	53	0.445	metastasis
0	Primary, left heel	0	12	SDS	25	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	0	12	SDS	26	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	0	12	SDS	28	4	0.45	metastasis
3	Lymph node metastasis, left groin	0	12	SDS	32	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	0	12	SDS	25	0	0.445	metastasis
0	Primary, left heel	2	13	NRAS	298	176	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	13	NRAS	318	254	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	13	NRAS	380	234	0.45	metastasis
3	Lymph node metastasis, left groin	2	13	NRAS	314	199	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	13	NRAS	275	251	0.445	metastasis
0	Primary, left heel	6	14	MUC20	84	23	0.4	primary
1	Locoregional skin metastasis 1, left heel	6	14	MUC20	95	26	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	6	14	MUC20	82	10	0.45	metastasis
3	Lymph node metastasis, left groin	6	14	MUC20	97	14	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	6	14	MUC20	81	15	0.445	metastasis
0	Primary, left heel	2	15	ZNF629	161	74	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	15	ZNF629	182	125	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	15	ZNF629	180	135	0.45	metastasis
3	Lymph node metastasis, left groin	2	15	ZNF629	160	114	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	15	ZNF629	108	102	0.445	metastasis
0	Primary, left heel	5	16	PTX4	74	1	0.4	primary
1	Locoregional skin metastasis 1, left heel	5	16	PTX4	47	54	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	5	16	PTX4	73	47	0.45	metastasis
3	Lymph node metastasis, left groin	5	16	PTX4	44	30	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	5	16	PTX4	36	29	0.445	metastasis
0	Primary, left heel	2	17	DNAJC6	68	64	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	17	DNAJC6	99	75	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	17	DNAJC6	129	117	0.45	metastasis
3	Lymph node metastasis, left groin	2	17	DNAJC6	89	63	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	17	DNAJC6	85	78	0.445	metastasis
0	Primary, left heel	1	18	RNF148	768	289	0.4	primary
1	Locoregional skin metastasis 1, left heel	1	18	RNF148	1518	2	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	1	18	RNF148	1708	0	0.45	metastasis
3	Lymph node metastasis, left groin	1	18	RNF148	1220	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	1	18	RNF148	1498	0	0.445	metastasis
0	Primary, left heel	5	19	HILS1	348	2	0.4	primary
1	Locoregional skin metastasis 1, left heel	5	19	HILS1	247	189	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	5	19	HILS1	216	166	0.45	metastasis
3	Lymph node metastasis, left groin	5	19	HILS1	211	185	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	5	19	HILS1	162	139	0.445	metastasis
0	Primary, left heel	0	20	EPS8L3	637	0	0.4	primary
1	Locoregional skin metastasis 1, left heel	0	20	EPS8L3	751	0	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	0	20	EPS8L3	560	275	0.45	metastasis
3	Lymph node metastasis, left groin	0	20	EPS8L3	692	0	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	0	20	EPS8L3	674	0	0.445	metastasis
0	Primary, left heel	2	21	RP1L1	90	80	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	21	RP1L1	112	86	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	21	RP1L1	108	90	0.45	metastasis
3	Lymph node metastasis, left groin	2	21	RP1L1	110	65	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	21	RP1L1	85	67	0.445	metastasis
0	Primary, left heel	2	22	LILRA2	122	65	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	22	LILRA2	160	88	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	22	LILRA2	135	94	0.45	metastasis
3	Lymph node metastasis, left groin	2	22	LILRA2	114	90	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	22	LILRA2	110	83	0.445	metastasis
0	Primary, left heel	2	23	ISG20	158	83	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	23	ISG20	150	112	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	23	ISG20	172	139	0.45	metastasis
3	Lymph node metastasis, left groin	2	23	ISG20	173	99	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	23	ISG20	142	92	0.445	metastasis
0	Primary, left heel	2	24	SLC18A1	214	107	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	24	SLC18A1	240	160	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	24	SLC18A1	254	165	0.45	metastasis
3	Lymph node metastasis, left groin	2	24	SLC18A1	213	139	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	24	SLC18A1	207	141	0.445	metastasis
0	Primary, left heel	5	25	LACTB	405	6	0.4	primary
1	Locoregional skin metastasis 1, left heel	5	25	LACTB	283	223	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	5	25	LACTB	301	237	0.45	metastasis
3	Lymph node metastasis, left groin	5	25	LACTB	268	223	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	5	25	LACTB	229	220	0.445	metastasis
0	Primary, left heel	2	26	B3GNT6	1	7	0.4	primary
1	Locoregional skin metastasis 1, left heel	2	26	B3GNT6	0	15	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	2	26	B3GNT6	1	7	0.45	metastasis
3	Lymph node metastasis, left groin	2	26	B3GNT6	0	5	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	2	26	B3GNT6	0	10	0.445	metastasis
0	Primary, left heel	5	27	ERBB4	132	2	0.4	primary
1	Locoregional skin metastasis 1, left heel	5	27	ERBB4	79	74	0.45	metastasis
2	Locoregional skin metastasis 2, left heel	5	27	ERBB4	116	90	0.45	metastasis
3	Lymph node metastasis, left groin	5	27	ERBB4	95	72	0.445	metastasis
4	Locoregional skin metastasis 3, left heel	5	27	ERBB4	96	83	0.445	metastasis
