anatomical_site_index	anatomical_site_label	cluster_index	character_index	character_label	ref	var	var_read_prob	site_category
0	Primary, right forearm	0	0	INTU	149	72	0.5	primary
1	Lung metastasis	0	0	INTU	103	38	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	0	INTU	172	110	0.5	metastasis
0	Primary, right forearm	0	1	GRIA2	168	63	0.5	primary
1	Lung metastasis	0	1	GRIA2	134	68	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	1	GRIA2	143	140	0.5	metastasis
0	Primary, right forearm	0	2	SDAD1	66	36	0.5	primary
1	Lung metastasis	0	2	SDAD1	71	35	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	2	SDAD1	86	77	0.5	metastasis
0	Primary, right forearm	0	3	ZBTB7C	508	220	0.5	primary
1	Lung metastasis	0	3	ZBTB7C	317	179	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	3	ZBTB7C	517	398	0.5	metastasis
0	Primary, right forearm	0	4	PDCL2	223	105	0.5	primary
1	Lung metastasis	0	4	PDCL2	179	75	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	4	PDCL2	228	209	0.5	metastasis
0	Primary, right forearm	0	5	INTS12	359	151	0.5	primary
1	Lung metastasis	0	5	INTS12	247	119	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	5	INTS12	319	282	0.5	metastasis
0	Primary, right forearm	0	6	DCHS2	142	67	0.5	primary
1	Lung metastasis	0	6	DCHS2	93	30	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	6	DCHS2	127	98	0.5	metastasis
0	Primary, right forearm	0	7	DSEL	185	96	0.5	primary
1	Lung metastasis	0	7	DSEL	154	69	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	7	DSEL	209	211	0.5	metastasis
0	Primary, right forearm	0	8	CWH43	58	20	0.5	primary
1	Lung metastasis	0	8	CWH43	32	13	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	8	CWH43	38	35	0.5	metastasis
0	Primary, right forearm	0	9	DGKQ	199	75	0.5	primary
1	Lung metastasis	0	9	DGKQ	185	77	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	9	DGKQ	207	145	0.5	metastasis
0	Primary, right forearm	2	10	SEL1L3	224	91	0.5	primary
1	Lung metastasis	2	10	SEL1L3	165	41	0.5	metastasis
2	Locoregional skin metastasis, axilla	2	10	SEL1L3	256	213	0.5	metastasis
0	Primary, right forearm	0	11	DCC	83	47	0.5	primary
1	Lung metastasis	0	11	DCC	60	31	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	11	DCC	93	81	0.5	metastasis
0	Primary, right forearm	0	12	ATP10D	287	131	0.5	primary
1	Lung metastasis	0	12	ATP10D	218	89	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	12	ATP10D	280	216	0.5	metastasis
0	Primary, right forearm	0	13	SERPINB2	173	73	0.5	primary
1	Lung metastasis	0	13	SERPINB2	111	69	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	13	SERPINB2	135	123	0.5	metastasis
0	Primary, right forearm	2	14	FRAS1	28	9	0.5	primary
1	Lung metastasis	2	14	FRAS1	24	6	0.5	metastasis
2	Locoregional skin metastasis, axilla	2	14	FRAS1	25	13	0.5	metastasis
0	Primary, right forearm	0	15	ZCCHC2	93	36	0.5	primary
1	Lung metastasis	0	15	ZCCHC2	72	40	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	15	ZCCHC2	102	76	0.5	metastasis
0	Primary, right forearm	0	16	C18orf63	104	32	0.5	primary
1	Lung metastasis	0	16	C18orf63	69	37	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	16	C18orf63	84	97	0.5	metastasis
0	Primary, right forearm	0	17	FAM53A	145	67	0.5	primary
1	Lung metastasis	0	17	FAM53A	147	50	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	17	FAM53A	192	165	0.5	metastasis
0	Primary, right forearm	0	18	DCC	256	86	0.5	primary
1	Lung metastasis	0	18	DCC	177	81	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	18	DCC	253	198	0.5	metastasis
0	Primary, right forearm	0	19	FAM193A	17	7	0.5	primary
1	Lung metastasis	0	19	FAM193A	8	5	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	19	FAM193A	16	9	0.5	metastasis
0	Primary, right forearm	0	20	FAT4	145	59	0.5	primary
1	Lung metastasis	0	20	FAT4	72	42	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	20	FAT4	138	127	0.5	metastasis
0	Primary, right forearm	0	21	TAF4B	117	55	0.5	primary
1	Lung metastasis	0	21	TAF4B	86	54	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	21	TAF4B	121	80	0.5	metastasis
0	Primary, right forearm	0	22	PTPN13	107	52	0.5	primary
1	Lung metastasis	0	22	PTPN13	81	40	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	22	PTPN13	100	109	0.5	metastasis
0	Primary, right forearm	0	23	SLC34A2	150	79	0.5	primary
1	Lung metastasis	0	23	SLC34A2	118	67	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	23	SLC34A2	160	169	0.5	metastasis
0	Primary, right forearm	0	24	CABS1	164	69	0.5	primary
1	Lung metastasis	0	24	CABS1	83	39	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	24	CABS1	146	138	0.5	metastasis
0	Primary, right forearm	0	25	SPATA18	173	89	0.5	primary
1	Lung metastasis	0	25	SPATA18	145	55	0.5	metastasis
2	Locoregional skin metastasis, axilla	0	25	SPATA18	166	139	0.5	metastasis
0	Primary, right forearm	0	26	LOXHD1	1703	709	0.5	primary
