5 #anatomical sites
5 #samples
9 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f_lb	f_ub	ref	var
0	P	0	P	0	38;39;40;43	0.0	0.027151215833110125	780	2
0	P	0	P	1	37	0.0	0.08448373028105712	187	1
0	P	0	P	2	28;33;36	0.0	0.016260141036180516	612	0
0	P	0	P	3	11;12;13;14;20;34;35	0.0	0.020913437447826734	1412	4
0	P	0	P	4	19;26;27;29;30;31;32	0.0	0.02383141734368763	1379	5
0	P	0	P	5	21	0.0	0.044842594379736346	220	0
0	P	0	P	6	8;15;18	0.0	0.03655460542406386	578	2
0	P	0	P	7	7;9;10;16;17	0.0	0.009451791611267375	1055	0
0	P	0	P	8	3	0.23685959933805756	0.5968889701781237	166	41
0	P	0	P	9	0	0.7102277795577558	1	104	92
1	M1	1	M1	0	38;39;40;43	0.0	0.0122249297178937	815	0
1	M1	1	M1	1	37	0.0	0.053762655413413206	183	0
1	M1	1	M1	2	28;33;36	0.0	0.01642033903808613	606	0
1	M1	1	M1	3	11;12;13;14;20;34;35	0.0	0.011842514401303525	1359	1
1	M1	1	M1	4	19;26;27;29;30;31;32	0.0	0.011399277357515026	1412	1
1	M1	1	M1	5	21	0.03909918525869313	0.24158798761486405	217	13
1	M1	1	M1	6	8;15;18	0.8388673280331044	1	321	302
1	M1	1	M1	7	7;9;10;16;17	0.0	0.021293883056925762	996	2
1	M1	1	M1	8	3	0.8125960781771526	1	92	101
1	M1	1	M1	9	0	0.9351500901719234	1	80	113
2	M2	2	M2	0	38;39;40;43	0.0	0.020746466216098762	774	1
2	M2	2	M2	1	37	0.0	0.051812768732640443	190	0
2	M2	2	M2	2	28;33;36	0.0	0.02807001368707052	571	1
2	M2	2	M2	3	11;12;13;14;20;34;35	0.0	0.0070472145971340345	1416	0
2	M2	2	M2	4	19;26;27;29;30;31;32	0.2286409166200843	0.3530905264660784	1175	197
2	M2	2	M2	5	21	0.0	0.07368557881676231	215	1
2	M2	2	M2	6	8;15;18	0.0	0.01642033903808613	606	0
2	M2	2	M2	7	7;9;10;16;17	0.9750975547441304	1	461	540
2	M2	2	M2	8	3	0.0	0.048308609540179806	204	0
2	M2	2	M2	9	0	0.62052473913322	1	114	83
3	M3	3	M3	0	38;39;40;43	0.0	0.012531318456857024	795	0
3	M3	3	M3	1	37	0.10673669754321792	0.39532086785828857	182	23
3	M3	3	M3	2	28;33;36	0.7688754845523057	1	324	266
3	M3	3	M3	3	11;12;13;14;20;34;35	0.0	0.015391088973031913	1380	2
3	M3	3	M3	4	19;26;27;29;30;31;32	0.0	0.014772566382524627	1438	2
3	M3	3	M3	5	21	0.0	0.05101973727906271	193	0
3	M3	3	M3	6	8;15;18	0.0	0.016750395182659243	594	0
3	M3	3	M3	7	7;9;10;16;17	0.9134427226380798	1	496	513
3	M3	3	M3	8	3	0.0	0.05464398388474083	180	0
3	M3	3	M3	9	0	0.8234159919882368	1	83	95
4	M4	4	M4	0	38;39;40;43	0.2131132061179113	0.3754362462722177	690	116
4	M4	4	M4	1	37	0.0	0.045871072557456025	215	0
4	M4	4	M4	2	28;33;36	0.0	0.026244521808087135	611	1
4	M4	4	M4	3	11;12;13;14;20;34;35	0.926247989477142	1	685	705
4	M4	4	M4	4	19;26;27;29;30;31;32	0.0	0.015226213974517226	1395	2
4	M4	4	M4	5	21	0.0	0.04694783450622614	210	0
4	M4	4	M4	6	8;15;18	0.0	0.016366590119055516	608	0
4	M4	4	M4	7	7;9;10;16;17	0.0	0.009671175352373428	1031	0
4	M4	4	M4	8	3	0.7933271070289933	1	95	100
4	M4	4	M4	9	0	0.8168524606985555	1	90	100
