5 #anatomical sites
5 #samples
9 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f_lb	f_ub	ref	var
0	primary	0	primary	0	0	0.0	0.019920279043308363	499	0
0	primary	0	primary	1	1	0.0	0.01418438285324728	702	0
0	primary	0	primary	2	2	0.0	0.04081598374223273	242	0
0	primary	0	primary	3	3	0.17488173838491122	0.45800419629470324	194	34
0	primary	0	primary	4	4	0.6233602969151426	0.6310666719612387	364250	166420
1	lymph_node	1	lymph_node	0	0	0.0	0.03207587091158053	626	2
1	lymph_node	1	lymph_node	1	1	0.0	0.011848332895942346	841	0
1	lymph_node	1	lymph_node	2	2	0.30683738753107037	0.6082477869506795	213	61
1	lymph_node	1	lymph_node	3	3	0.0	0.035842062019162846	276	0
1	lymph_node	1	lymph_node	4	4	0.5186680422936094	0.5257302381430247	418472	147870
2	locoregional	2	locoregional	0	0	0.3201039760569813	0.5760603217143655	295	83
2	locoregional	2	locoregional	1	1	0.0	0.01996003992011976	498	0
2	locoregional	2	locoregional	2	2	0.0	0.07042076408756195	139	0
2	locoregional	2	locoregional	3	3	0.0	0.04901901307130063	201	0
2	locoregional	2	locoregional	4	4	0.35569996412195065	0.36250249930866724	382398	83684
3	distant	3	distant	0	0	0.0	0.018656683826884658	533	0
3	distant	3	distant	1	1	0.1997410093364178	0.35719248403048226	597	94
3	distant	3	distant	2	2	0.32677254722581306	0.6576835242102532	181	57
3	distant	3	distant	3	3	0.0	0.039999677423256975	247	0
3	distant	3	distant	4	4	0.5171835560824144	0.5245831184719677	380900	134135
