5 #anatomical sites
6 #samples
53 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	ref	var
0	P_0	0	P	0	0	94	99
0	P_0	0	P	1	1	184	0
0	P_0	0	P	2	2	169	36
0	P_0	0	P	3	3	178	28
0	P_0	0	P	4	4	220	0
0	P_0	0	P	5	5	208	0
0	P_0	0	P	6	6	175	0
0	P_0	0	P	7	7	214	0
0	P_0	0	P	8	8	176	23
0	P_0	0	P	9	9	219	2
0	P_0	0	P	10	10	188	0
0	P_0	0	P	11	11	180	0
0	P_0	0	P	12	12	166	26
0	P_0	0	P	13	13	188	0
0	P_0	0	P	14	14	212	0
0	P_0	0	P	15	15	171	28
0	P_0	0	P	16	16	148	46
0	P_0	0	P	17	17	189	0
0	P_0	0	P	18	18	212	0
0	P_0	0	P	19	19	209	1
0	P_0	0	P	20	20	186	52
0	P_0	0	P	21	21	179	0
0	P_0	0	P	22	22	195	0
0	P_0	0	P	23	23	202	0
0	P_0	0	P	24	26	199	0
0	P_0	0	P	25	27	231	0
0	P_0	0	P	26	30	203	0
0	P_0	0	P	27	31	204	0
0	P_0	0	P	28	35	187	0
0	P_0	0	P	29	37	176	42
0	P_0	0	P	30	38	199	0
0	P_0	0	P	31	39	197	0
0	P_0	0	P	32	40	158	28
0	P_0	0	P	33	41	158	29
0	P_0	0	P	34	43	195	0
0	P_0	0	P	35	44	192	0
0	P_0	0	P	36	45	202	0
0	P_0	0	P	37	46	150	18
0	P_0	0	P	38	47	158	37
0	P_0	0	P	39	48	148	45
0	P_0	0	P	40	49	209	52
0	P_0	0	P	41	50	167	37
0	P_0	0	P	42	51	160	29
0	P_0	0	P	43	52	197	0
0	P_0	0	P	44	53	209	0
0	P_0	0	P	45	54	167	36
0	P_0	0	P	46	55	202	0
0	P_0	0	P	47	56	184	0
0	P_0	0	P	48	57	209	0
0	P_0	0	P	49	60	238	0
0	P_0	0	P	50	61	198	0
0	P_0	0	P	51	65	220	0
0	P_0	0	P	52	66	193	2
1	P_1	0	P	0	0	111	113
1	P_1	0	P	1	1	201	0
1	P_1	0	P	2	2	165	48
1	P_1	0	P	3	3	168	49
1	P_1	0	P	4	4	226	1
1	P_1	0	P	5	5	200	0
1	P_1	0	P	6	6	210	0
1	P_1	0	P	7	7	206	0
1	P_1	0	P	8	8	165	45
1	P_1	0	P	9	9	209	0
1	P_1	0	P	10	10	173	0
1	P_1	0	P	11	11	221	0
1	P_1	0	P	12	12	160	45
1	P_1	0	P	13	13	203	0
1	P_1	0	P	14	14	196	1
1	P_1	0	P	15	15	178	44
1	P_1	0	P	16	16	171	41
1	P_1	0	P	17	17	229	0
1	P_1	0	P	18	18	219	0
1	P_1	0	P	19	19	225	0
1	P_1	0	P	20	20	149	35
1	P_1	0	P	21	21	187	0
1	P_1	0	P	22	22	193	1
1	P_1	0	P	23	23	216	1
1	P_1	0	P	24	26	197	0
1	P_1	0	P	25	27	176	0
1	P_1	0	P	26	30	215	0
1	P_1	0	P	27	31	192	0
1	P_1	0	P	28	35	198	0
1	P_1	0	P	29	37	168	47
1	P_1	0	P	30	38	184	0
1	P_1	0	P	31	39	194	0
1	P_1	0	P	32	40	151	49
1	P_1	0	P	33	41	157	40
1	P_1	0	P	34	43	182	0
1	P_1	0	P	35	44	177	0
1	P_1	0	P	36	45	188	0
1	P_1	0	P	37	46	154	40
1	P_1	0	P	38	47	157	44
1	P_1	0	P	39	48	139	44
1	P_1	0	P	40	49	154	39
1	P_1	0	P	41	50	167	34
1	P_1	0	P	42	51	174	44
1	P_1	0	P	43	52	206	0
1	P_1	0	P	44	53	204	0
1	P_1	0	P	45	54	168	39
1	P_1	0	P	46	55	190	0
1	P_1	0	P	47	56	201	0
1	P_1	0	P	48	57	201	0
1	P_1	0	P	49	60	203	0
1	P_1	0	P	50	61	190	0
1	P_1	0	P	51	65	200	1
1	P_1	0	P	52	66	206	0
2	M1_0	1	M1	0	0	82	104
2	M1_0	1	M1	1	1	170	0
2	M1_0	1	M1	2	2	185	0
2	M1_0	1	M1	3	3	186	0
2	M1_0	1	M1	4	4	177	0
2	M1_0	1	M1	5	5	87	97
2	M1_0	1	M1	6	6	211	0
2	M1_0	1	M1	7	7	220	0
2	M1_0	1	M1	8	8	211	0
2	M1_0	1	M1	9	9	209	0
2	M1_0	1	M1	10	10	88	101
2	M1_0	1	M1	11	11	221	0
2	M1_0	1	M1	12	12	210	0
2	M1_0	1	M1	13	13	217	1
2	M1_0	1	M1	14	14	190	0
2	M1_0	1	M1	15	15	195	0
