5 #anatomical sites
5 #samples
9 #mutations
#sample_index	sample_label	anatomical_site_index	anatomical_site_label	character_index	character_label	f_lb	f_ub	ref	var
0	P	0	P	0	43	0.0	0.04807636206962323	205	0
0	P	0	P	1	8;10;15;16;18;26;27;33;38;39;40	0.0	0.01352936960205641	2167	4
0	P	0	P	2	37	0.0	0.051545699831482585	191	0
0	P	0	P	3	12;17;23;25;28;29;31	0.0	0.018350968305183762	1406	3
0	P	0	P	4	7;11;14;24	0.0	0.01240693831792223	803	0
0	P	0	P	5	9;13	0.0	0.03907872431262957	409	1
0	P	0	P	6	6	0.29659230087200195	0.6946707307016097	144	45
0	P	0	P	7	1;2;3	0.1896158842449207	0.37874315770924316	483	77
0	P	0	P	8	0	0.8034663373143605	1	92	99
1	M1	1	M1	0	43	0.0	0.045248401328874505	218	0
1	M1	1	M1	1	8;10;15;16;18;26;27;33;38;39;40	0.0	0.009966347454263405	2134	2
1	M1	1	M1	2	37	0.0	0.045871072557456025	215	0
1	M1	1	M1	3	12;17;23;25;28;29;31	0.0	0.015032967568055531	1413	2
1	M1	1	M1	4	7;11;14;24	0.0	0.020431356804224553	786	1
1	M1	1	M1	5	9;13	0.8531240018583618	1	197	203
1	M1	1	M1	6	6	0.0	0.053762655413413206	183	0
1	M1	1	M1	7	1;2;3	0.0	0.016891867710925875	589	0
1	M1	1	M1	8	0	0.7794808546347548	1	96	98
2	M2	2	M2	0	43	0.0	0.04901901307130063	201	0
2	M2	2	M2	1	8;10;15;16;18;26;27;33;38;39;40	0.0	0.009725400325454242	2187	2
2	M2	2	M2	2	37	0.0	0.055554688604008556	177	0
2	M2	2	M2	3	12;17;23;25;28;29;31	0.0	0.011472190382376613	1403	1
2	M2	2	M2	4	7;11;14;24	0.8862035338872127	1	390	392
2	M2	2	M2	5	9;13	0.0	0.04495574835381587	355	1
2	M2	2	M2	6	6	0.0	0.08275134867137011	191	1
2	M2	2	M2	7	1;2;3	0.8926806501143121	1	308	322
2	M2	2	M2	8	0	0.6485575596121298	1	120	91
3	M3	3	M3	0	43	0.0	0.0497506218866604	198	0
3	M3	3	M3	1	8;10;15;16;18;26;27;33;38;39;40	0.0	0.01176332250972314	2197	3
3	M3	3	M3	2	37	0.11305491876181904	0.4002064980526265	184	24
3	M3	3	M3	3	12;17;23;25;28;29;31	0.9393550199534826	1	708	744
3	M3	3	M3	4	7;11;14;24	0.0	0.01956464249015762	821	1
3	M3	3	M3	5	9;13	0.0	0.042139178268110186	379	1
3	M3	3	M3	6	6	0.0	0.042372497715613716	233	0
3	M3	3	M3	7	1;2;3	0.0	0.016501627623302907	603	0
3	M3	3	M3	8	0	0.8596771126217329	1	86	104
4	M4	4	M4	0	43	0.057004054335104665	0.2830831248980796	207	16
4	M4	4	M4	1	8;10;15;16;18;26;27;33;38;39;40	0.8630965583255427	1	1195	1042
4	M4	4	M4	2	37	0.0	0.045661620043138715	216	0
4	M4	4	M4	3	12;17;23;25;28;29;31	0.0	0.014875636742836032	1428	2
4	M4	4	M4	4	7;11;14;24	0.0	0.025992677913554037	815	2
4	M4	4	M4	5	9;13	0.0	0.03815502554983066	419	1
4	M4	4	M4	6	6	0.0	0.0495043378213925	199	0
4	M4	4	M4	7	1;2;3	0.0	0.017301012079189663	575	0
4	M4	4	M4	8	0	0.7755850579200834	1	97	98
